"","index","value","variable","has_issue","issue_type"
"164",3964,545.666666666667,"wpppd",TRUE,"normal distribution outlier"
"165",3968,160,"wpppd",TRUE,"normal distribution outlier"
"166",3986,162,"wpppd",TRUE,"normal distribution outlier"
"167",4039,200,"wpppd",TRUE,"normal distribution outlier"
"168",4095,1187.5,"wpppd",TRUE,"normal distribution outlier"
"169",4197,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"170",4198,200,"wpppd",TRUE,"normal distribution outlier"
"171",4208,180,"wpppd",TRUE,"normal distribution outlier"
"172",4259,200,"wpppd",TRUE,"normal distribution outlier"
"173",4325,182.75,"wpppd",TRUE,"normal distribution outlier"
"174",4327,807.142857142857,"wpppd",TRUE,"normal distribution outlier"
"175",4328,1079.75,"wpppd",TRUE,"normal distribution outlier"
"176",4329,336.428571428571,"wpppd",TRUE,"normal distribution outlier"
"177",4330,1032.5,"wpppd",TRUE,"normal distribution outlier"
"178",4339,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"179",4380,160,"wpppd",TRUE,"normal distribution outlier"
"180",4416,400,"wpppd",TRUE,"normal distribution outlier"
"181",4456,240,"wpppd",TRUE,"normal distribution outlier"
"182",4471,300,"wpppd",TRUE,"normal distribution outlier"
"183",4517,410,"wpppd",TRUE,"normal distribution outlier"
"184",4546,222.5,"wpppd",TRUE,"normal distribution outlier"
"185",4568,225,"wpppd",TRUE,"normal distribution outlier"
"186",4604,322,"wpppd",TRUE,"normal distribution outlier"
"187",4606,397,"wpppd",TRUE,"normal distribution outlier"
"188",4607,196.25,"wpppd",TRUE,"normal distribution outlier"
"189",4677,300,"wpppd",TRUE,"normal distribution outlier"
"190",4678,400,"wpppd",TRUE,"normal distribution outlier"
"191",4679,800,"wpppd",TRUE,"normal distribution outlier"
"192",4818,160,"wpppd",TRUE,"normal distribution outlier"
"193",4836,290,"wpppd",TRUE,"normal distribution outlier"
"194",4903,200,"wpppd",TRUE,"normal distribution outlier"
"195",5003,154,"wpppd",TRUE,"normal distribution outlier"
"196",5006,250,"wpppd",TRUE,"normal distribution outlier"
"197",5007,640,"wpppd",TRUE,"normal distribution outlier"
"198",5009,400,"wpppd",TRUE,"normal distribution outlier"
"199",5010,228.571428571429,"wpppd",TRUE,"normal distribution outlier"
"200",5011,351.428571428571,"wpppd",TRUE,"normal distribution outlier"
"201",5026,155,"wpppd",TRUE,"normal distribution outlier"
"202",5056,545.25,"wpppd",TRUE,"normal distribution outlier"
"203",5065,230,"wpppd",TRUE,"normal distribution outlier"
"204",5066,200,"wpppd",TRUE,"normal distribution outlier"
"205",5159,400,"wpppd",TRUE,"normal distribution outlier"
"206",5190,165,"wpppd",TRUE,"normal distribution outlier"
"207",5213,297.5,"wpppd",TRUE,"normal distribution outlier"
"208",5330,170,"wpppd",TRUE,"normal distribution outlier"
"209",5331,210,"wpppd",TRUE,"normal distribution outlier"
"210",5368,266.666666666667,"wpppd",TRUE,"normal distribution outlier"
"211",5424,300,"wpppd",TRUE,"normal distribution outlier"
"212",5425,400,"wpppd",TRUE,"normal distribution outlier"
"213",5426,500,"wpppd",TRUE,"normal distribution outlier"
"214",5454,213.333333333333,"wpppd",TRUE,"normal distribution outlier"
"215",5465,175,"wpppd",TRUE,"normal distribution outlier"
"216",5471,225,"wpppd",TRUE,"normal distribution outlier"
"217",5472,186,"wpppd",TRUE,"normal distribution outlier"
"218",5474,340,"wpppd",TRUE,"normal distribution outlier"
"219",5508,266.666666666667,"wpppd",TRUE,"normal distribution outlier"
"220",5509,180,"wpppd",TRUE,"normal distribution outlier"
"221",5585,285,"wpppd",TRUE,"normal distribution outlier"
"222",5665,250,"wpppd",TRUE,"normal distribution outlier"
"223",5667,180,"wpppd",TRUE,"normal distribution outlier"
"224",5703,280,"wpppd",TRUE,"normal distribution outlier"
"225",5762,180,"wpppd",TRUE,"normal distribution outlier"
"226",5770,170,"wpppd",TRUE,"normal distribution outlier"
"227",5907,155,"wpppd",TRUE,"normal distribution outlier"
"228",5911,211.666666666667,"wpppd",TRUE,"normal distribution outlier"
"229",5951,182.5,"wpppd",TRUE,"normal distribution outlier"
"230",5988,175,"wpppd",TRUE,"normal distribution outlier"
"231",6076,212.5,"wpppd",TRUE,"normal distribution outlier"
"232",6079,250,"wpppd",TRUE,"normal distribution outlier"
"233",6097,240,"wpppd",TRUE,"normal distribution outlier"
"234",6113,280,"wpppd",TRUE,"normal distribution outlier"
"235",6137,240,"wpppd",TRUE,"normal distribution outlier"
"236",6224,157.142857142857,"wpppd",TRUE,"normal distribution outlier"
"237",6336,400,"wpppd",TRUE,"normal distribution outlier"
"238",6343,180,"wpppd",TRUE,"normal distribution outlier"
"239",6392,180,"wpppd",TRUE,"normal distribution outlier"
"240",6397,462.5,"wpppd",TRUE,"normal distribution outlier"
"241",6505,237.5,"wpppd",TRUE,"normal distribution outlier"
"242",6652,160,"wpppd",TRUE,"normal distribution outlier"
"243",6662,160,"wpppd",TRUE,"normal distribution outlier"
"244",6663,186.666666666667,"wpppd",TRUE,"normal distribution outlier"
"245",6846,180,"wpppd",TRUE,"normal distribution outlier"
"246",6939,293.333333333333,"wpppd",TRUE,"normal distribution outlier"
"247",6960,200,"wpppd",TRUE,"normal distribution outlier"
"248",6991,182,"wpppd",TRUE,"normal distribution outlier"
"249",7004,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"250",7057,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"251",7062,175,"wpppd",TRUE,"normal distribution outlier"
"252",7102,160,"wpppd",TRUE,"normal distribution outlier"
"253",7105,250,"wpppd",TRUE,"normal distribution outlier"
"254",7122,225,"wpppd",TRUE,"normal distribution outlier"
"255",7127,400,"wpppd",TRUE,"normal distribution outlier"
"256",7158,232.5,"wpppd",TRUE,"normal distribution outlier"
"257",7230,190,"wpppd",TRUE,"normal distribution outlier"
"258",7237,300,"wpppd",TRUE,"normal distribution outlier"
"259",7395,250,"wpppd",TRUE,"normal distribution outlier"
"260",7479,270,"wpppd",TRUE,"normal distribution outlier"
"261",7507,200,"wpppd",TRUE,"normal distribution outlier"
"262",7637,160,"wpppd",TRUE,"normal distribution outlier"
"263",7685,200,"wpppd",TRUE,"normal distribution outlier"
"264",7705,262.5,"wpppd",TRUE,"normal distribution outlier"
"265",7757,170,"wpppd",TRUE,"normal distribution outlier"
"266",7843,240,"wpppd",TRUE,"normal distribution outlier"
"267",7845,350,"wpppd",TRUE,"normal distribution outlier"
"268",7853,225,"wpppd",TRUE,"normal distribution outlier"
"269",7879,200,"wpppd",TRUE,"normal distribution outlier"
"270",7894,175,"wpppd",TRUE,"normal distribution outlier"
"271",7988,205,"wpppd",TRUE,"normal distribution outlier"
"272",8040,158.333333333333,"wpppd",TRUE,"normal distribution outlier"
"273",8058,165,"wpppd",TRUE,"normal distribution outlier"
"274",8091,250,"wpppd",TRUE,"normal distribution outlier"
"275",8137,192,"wpppd",TRUE,"normal distribution outlier"
"276",8147,470,"wpppd",TRUE,"normal distribution outlier"
"277",8172,225,"wpppd",TRUE,"normal distribution outlier"
"278",8177,170,"wpppd",TRUE,"normal distribution outlier"
"279",8268,183.333333333333,"wpppd",TRUE,"normal distribution outlier"
"280",8270,400,"wpppd",TRUE,"normal distribution outlier"
"281",8273,240,"wpppd",TRUE,"normal distribution outlier"
"282",8304,800,"wpppd",TRUE,"normal distribution outlier"
"283",8346,300,"wpppd",TRUE,"normal distribution outlier"
"284",8365,330,"wpppd",TRUE,"normal distribution outlier"
"285",8391,317.5,"wpppd",TRUE,"normal distribution outlier"
"286",8392,600,"wpppd",TRUE,"normal distribution outlier"
"287",8420,225,"wpppd",TRUE,"normal distribution outlier"
"288",8499,226.666666666667,"wpppd",TRUE,"normal distribution outlier"
"289",8511,187.5,"wpppd",TRUE,"normal distribution outlier"
"290",8538,170,"wpppd",TRUE,"normal distribution outlier"
"291",8567,375,"wpppd",TRUE,"normal distribution outlier"
"292",8577,160,"wpppd",TRUE,"normal distribution outlier"
"293",8583,200,"wpppd",TRUE,"normal distribution outlier"
"294",8595,220,"wpppd",TRUE,"normal distribution outlier"
"295",8606,206.666666666667,"wpppd",TRUE,"normal distribution outlier"
"296",8621,160,"wpppd",TRUE,"normal distribution outlier"
"297",8649,171.666666666667,"wpppd",TRUE,"normal distribution outlier"
"298",8680,155,"wpppd",TRUE,"normal distribution outlier"
"299",8684,222.222222222222,"wpppd",TRUE,"normal distribution outlier"
"300",8687,280,"wpppd",TRUE,"normal distribution outlier"
"301",8716,400,"wpppd",TRUE,"normal distribution outlier"
"302",8717,222.222222222222,"wpppd",TRUE,"normal distribution outlier"
"303",8729,200,"wpppd",TRUE,"normal distribution outlier"
"304",8746,175,"wpppd",TRUE,"normal distribution outlier"
"305",8784,156.25,"wpppd",TRUE,"normal distribution outlier"
"306",8786,204.166666666667,"wpppd",TRUE,"normal distribution outlier"
"307",8799,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"308",8810,670,"wpppd",TRUE,"normal distribution outlier"
"309",8813,337.5,"wpppd",TRUE,"normal distribution outlier"
"310",8837,167.5,"wpppd",TRUE,"normal distribution outlier"
"311",8879,312.5,"wpppd",TRUE,"normal distribution outlier"
"312",8880,250,"wpppd",TRUE,"normal distribution outlier"
"313",8885,160,"wpppd",TRUE,"normal distribution outlier"
"314",8893,177.5,"wpppd",TRUE,"normal distribution outlier"
"315",8896,235,"wpppd",TRUE,"normal distribution outlier"
"316",8901,160,"wpppd",TRUE,"normal distribution outlier"
"317",8997,475,"wpppd",TRUE,"normal distribution outlier"
"318",8999,1285,"wpppd",TRUE,"normal distribution outlier"
"319",9001,218.75,"wpppd",TRUE,"normal distribution outlier"
"320",9034,500,"wpppd",TRUE,"normal distribution outlier"
"321",9054,315,"wpppd",TRUE,"normal distribution outlier"
"322",9242,185,"wpppd",TRUE,"normal distribution outlier"
"323",9260,187.5,"wpppd",TRUE,"normal distribution outlier"
"324",9265,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"325",9270,690,"wpppd",TRUE,"normal distribution outlier"
"326",9274,260,"wpppd",TRUE,"normal distribution outlier"
"327",9275,180,"wpppd",TRUE,"normal distribution outlier"
"328",9277,225,"wpppd",TRUE,"normal distribution outlier"
"329",9313,173,"wpppd",TRUE,"normal distribution outlier"
"330",9320,173,"wpppd",TRUE,"normal distribution outlier"
"331",9324,490,"wpppd",TRUE,"normal distribution outlier"
